name
"Австралийская овчарка"
"Акита-ину"
"Аляскинский маламут"
"Американский кокер-спаниель"
"Английский бульдог"
"Английский кокер-спаниель"
"Английский сеттер"
"Аргентинский дог"
"Аффенпинчер"
"Басенджи"
"Бассет-хаунд"
"Бедлингтон-терьер"
"Бельгийская овчарка"
"Бернский зенненхунд"
"Бигль"
"Бишон фризе"
"Бладхаунд"
"Бобтейл"
"Боксер"
"Бордер-колли"
"Бостон-терьер"
"Бриар"
"Брюссельский гриффон"
"Бульмастиф"
"Бультерьер"
"Веймаранер"
"Вельш-корги"
"Вест-хайленд-уайт-терьер"
"Восточноевропейская овчарка"
"Далматин"
"Джек-рассел-терьер"
"Доберман"
"Западносибирская лайка"
"Золотистый ретривер"
"Ирландский волкодав"
"Ирландский сеттер"
"Итальянский кане-корсо"
"Йоркширский терьер"
"Кавалер-кинг-чарльз-спаниель"
"Кавказская овчарка"
"Кане-корсо"
"Китайская хохлатая собака"
"Колли"
"Курцхаар"
"Лабрадор-ретривер"
"Левретка"
"Леонбергер"
"Мальтипу"
"Мальтийская болонка"
"Миттельшнауцер"
"Мопс"
"Московская сторожевая"
"Немецкая овчарка"
"Немецкий дог"
"Ньюфаундленд"
"Папильон"
"Пекинес"
"Пинчер"
"Померанский шпиц"
"Пудель"
"Ризеншнауцер"
"Родезийский риджбек"
"Ротвейлер"
"Русская псовая борзая"
"Русский той-терьер"
"Самоедская собака"
"Сенбернар"
"Сиба-ину"
"Сибирский хаски"
"Скотч-терьер"
"Стаффордширский бультерьер"
"Такса"
"Тибетский мастиф"
"Уиппет"
"Фараонова собака"
"Фландрский бувье"
"Фокстерьер"
"Французский бульдог"
"Цвергпинчер"
"Цвергшнауцер"
"Чау-чау"
"Черный терьер"
"Чихуахуа"
"Шарпей"
"Шелти"
"Ши-тцу"
"Шотландский сеттер"
"Эрдельтерьер"
"Эстонская гончая"
"Южнорусская овчарка"
"Ягдтерьер"
"Японский хин"
